V, alpha_b, alpha_e
-0.45, 0.45, 0.85
-0.50, 0.47, 0.74
-0.55, 0.45, 0.70
-0.60, 0.43, 0.70
-0.65, 0.37, 0.42
-0.70, 0.32, 0.36
-0.75, 0.29, 0.31
-0.80, 0.26, 0.27
-0.85, 0.24, 0.26
-0.90, 0.24, 0.28
-0.95, 0.23, 0.24
-1.00, 0.23, 0.23
-1.05, 0.23, 0.24
-1.10, 0.23, 0.23
-1.15, 0.23, 0.23
-1.20, 0.24, 0.25
-1.25, 0.24, 0.25
-1.30, 0.26, 0.26
-1.35, 0.26, 0.26
-1.40, 0.27, 0.27
-1.45, 0.36, 0.29
-1.50, 0.36, 0.30
-1.55, 0.37, 0.30
-1.60, 0.35, 0.32
-1.65, 0.36, 0.34
-1.70, 0.37, 0.37
-1.75, 0.40, 0.40
-1.80, 0.45, 0.45
-1.85, 0.51, 0.51
-1.90, 0.53, 0.63
-1.95, 0.55, 0.89